"year","TOC","TOCdetrend"
1412,32.17,0.975977296
1411,32,0.959392948
1410,33.36,1.096987478
1409,34.18,1.179887651
1408,34.12,1.174673019
1407,33.34,1.095524839
1406,33.41,1.102802109
1405,33.53,1.115143389
1404,33.24,1.085959779
1403,32.75,1.036520124
1402,32.19,0.979990853
1401,32.26,0.98726812
1400,33.5,1.113043243
1399,34.03,1.167246674
1398,33.71,1.134350127
1397,32.7,1.032582019
1396,32.02,0.963899119
1395,31.75,0.936741109
1394,31.88,0.950095185
1393,32.3,0.992386033
1392,32.75,1.038584272
1391,34.32,1.198119126
1390,35.16,1.283044894
1389,33.04,1.068518475
1388,31.81,0.944245897
1387,31.19,0.881620563
1386,30.47,0.808700095
1385,29.96,0.757325979
1384,29.38,0.698771096
1383,29.14,0.674651487
1382,29.34,0.694755885
1381,30.05,0.767525996
1380,30.76,0.83928837
1379,29.63,0.725029364
1378,30.38,0.801177169
1377,30.98,0.862132942
1376,31.09,0.873461406
1375,30.59,0.823008937
1374,29.84,0.747236412
1373,29.78,0.741347238
1372,31.41,0.906621634
1371,33.7,1.138740975
1370,34.03,1.172351085
1369,32.73,1.040874438
1368,30.75,0.840527241
1367,30.16,0.780959548
1366,30.32,0.79735202
1365,30.28,0.793488447
1364,29.15,0.679229435
1363,28.03,0.565983225
1362,29.24,0.688382662
1361,30.29,0.79525179
1360,30.2,0.786526765
1359,29.54,0.720072014
1358,28.63,0.627486967
1357,28,0.563868062
1356,28.43,0.607808749
1355,31.81,0.950323523
1354,31.28,0.896832638
1353,32.55,1.025646149
1352,34.04,1.176741307
1351,34.98,1.272132344
1350,34.8,1.253752272
1349,33.28,1.099993969
1348,31.25,0.894920016
1347,31.03,0.872825998
1346,32.27,0.998601099
1345,33.32,1.105470221
1344,33.89,1.163050311
1343,33.74,1.148045907
1342,34.71,1.24681261
1341,35.51,1.328024413
1340,35.38,1.314708349
1339,35.09,1.285414317
1338,34.07,1.182076341
1337,32.69,1.042827438
1336,35.8,1.357996546
1335,34.85,1.261967964
1334,33.83,1.158849765
1333,36.26,1.405148323
1332,36.04,1.383054299
1331,35.68,1.346781045
1330,35.84,1.362722807
1329,35.87,1.365984285
1328,35.12,1.290151989
1327,33.59,1.13585588
1326,33.16,1.092830272
1325,34.92,1.270933817
1324,35.61,1.341004791
1323,35.47,1.327013182
1322,35.12,1.291752727
1321,34.32,1.210916172
1320,33.74,1.152699542
1319,33.19,1.096844766
1318,32.7,1.047202519
1317,32.41,1.018221436
1316,32.39,1.016383451
1315,32.94,1.072275191
1314,33.82,1.161589403
1313,34.45,1.225584573
1312,33.75,1.154422303
1311,32.51,1.029475172
1310,33.26,1.105285692
1309,33.76,1.15668464
1308,32.96,1.075617163
1307,32.73,1.052507291
1306,35.6,1.343369138
1305,35.35,1.3182367
1304,34,1.18169602
1303,33.36,1.117064296
1302,31.55,0.933934715
1301,31.25,0.903738265
1300,30.72,0.849793629
1299,32.43,1.023807472
1298,32.82,1.063311055
1297,31.82,0.96221845
1296,30.84,0.86315145
1295,31.78,0.95854247
1294,32.23,1.004643446
1293,31.41,0.921444017
1292,33.1,1.092795201
1291,34.65,1.249967154
1290,32.35,1.017210262
1289,31.7,0.951902996
1288,31.3,0.910903994
1287,30.47,0.827366287
1286,30.26,0.806285053
1285,30.7,0.851035962
1284,31.35,0.917517553
1283,32.03,0.985657102
1282,32.35,1.018373894
1281,31.67,0.950028219
1280,29.64,0.744616984
1279,27.12,0.489578442
1278,26.39,0.415831492
1277,26.81,0.458556794
1276,27.96,0.575216656
1275,27.34,0.512909306
1274,25.03,0.278840832
1273,26.07,0.384359869
1272,27.85,0.564826268
1271,30.36,0.819227227
1270,32.19,1.004420374
1269,32.62,1.048495739
1268,31.47,0.932211095
1267,30.96,0.880745791
1266,30.67,0.851562135
1265,30.26,0.810224852
1264,29.57,0.740866371
1263,28.98,0.680961385
1262,28.55,0.637598497
1261,27.4,0.520976588
1260,26.28,0.407730349
1259,25.19,0.297859779
1258,24.76,0.25449689
1257,25.68,0.347862298
1256,27.82,0.564789573
1255,32.9,1.079480692
1254,33.11,1.100937143
1253,33.94,1.185524593
1252,34.18,1.209682187
1251,32.72,1.062000671
1250,30.94,0.881909485
1249,30.03,0.789932089
1248,30.55,0.842785407
1247,32.25,1.015149384
1246,31.4,0.928911537
1245,30.33,0.82091161
1244,29.69,0.756296078
1243,28.53,0.63913738
1242,29.18,0.705157125
1241,30.16,0.804599343
1240,30.15,0.804110393
1239,30.29,0.817803713
1238,31.17,0.907455171
1237,32.97,1.089947167
1236,32.98,1.091147571
1235,32.8,1.072920403
1234,32.64,1.057178651
1233,32.33,1.025427535
1232,33.06,1.100000393
1231,36.35,1.433399915
1230,33.42,1.136836473
1229,32.23,1.016500612
1228,29.94,0.78475651
1227,27.86,0.574281254
1226,27.11,0.498508689
1225,28.4,0.629347772
1224,31.13,0.90603037
1223,32.54,1.049023078
1222,32.18,1.012749798
1221,31.02,0.895452343
1220,30.19,0.81191361
1219,31.77,0.972243466
1218,33.93,1.190740577
1217,31.94,0.989380539
1216,33.83,1.180987751
1215,33.64,1.161932108
1214,32.42,1.038557838
1213,32.58,1.05495027
1212,32.98,1.095649956
1211,32.8,1.077607113
1210,32.3,1.027154601
1209,32.17,1.013837493
1208,31.69,0.965409572
1207,30.97,0.8930147
1206,30.41,0.836485373
1205,30.51,0.846800992
1204,31.56,0.953332818
1203,32.09,1.00719893
1202,32.26,1.024604164
1201,32.93,1.092649506
1200,33.04,1.103977926
1199,31.7,0.968450027
1198,31.34,0.932176744
1197,31.73,0.971526361
1196,32.36,1.035857758
1195,32.62,1.06237821
1194,31.96,0.995720859
1193,31.28,0.927037905
1192,31.66,0.965711983
1191,31.53,0.952733148
1190,31.27,0.926587885
1189,31.55,0.955133941
1188,30.65,0.864169337
1187,27.35,0.529655177
1186,27.12,0.50702535
1185,32.53,1.05513893
1184,32.62,1.064441743
1183,32.64,1.066654941
1182,32.37,1.039496875
1181,32.31,1.033607654
1180,31.97,0.999359972
1179,31.79,0.981317125
1178,31.72,0.974415103
1177,31.28,0.930039398
1176,31.5,0.952508639
1175,33.41,1.146418958
1174,29.96,0.796912285
1173,29.3,0.730254932
1172,30.55,0.857042798
1171,31.17,0.920024125
1170,31.71,0.974903035
1169,31.63,0.966988209
1168,31.53,0.957047778
1167,31.43,0.947107347
1166,31.49,0.953371751
1165,31.41,0.945456924
1164,30.87,0.890953196
1163,30.69,0.872910348
1162,30.13,0.816381015
1161,30,0.803402177
1160,29.83,0.78637213
1159,28.97,0.699458731
1158,28.29,0.630775772
1157,30.25,0.829472591
1156,29.95,0.799276115
1155,29.68,0.772118045
1154,30.39,0.844214591
1153,31.99,1.006450531
1152,33.42,1.151468834
1151,33.47,1.156720434
1150,33.52,1.161972033
1149,34.64,1.275593468
1148,35.44,1.356805232
1147,35.52,1.365095238
1146,34.74,1.286284255
1145,33.46,1.156833163
1144,33.55,1.166135971
1143,33.71,1.182528394
1142,33.57,1.168536752
1141,32.58,1.068456922
1140,33.48,1.159796707
1139,33.49,1.160997097
1138,33.51,1.163210289
1137,33.03,1.114783371
1136,32.76,1.087625299
1135,32.5,1.06148003
1134,31.93,1.003937892
1133,31.79,0.989946248
1132,31.65,0.975954604
1131,30.93,0.903220433
1130,30.34,0.84365269
1129,31.23,0.933979672
1128,31.62,0.973666544
1127,31.57,0.968790119
1126,29.76,0.785660509
1125,29.44,0.753438425
1124,29.27,0.736408373
1123,29.1,0.719378322
1122,29.73,0.783372446
1121,31.7,0.983082064
1120,33.32,1.147343605
1119,31.02,0.914586686
1118,30.88,0.90059504
1117,31.86,1.000037241
